"filename", "language", "JavaScript", "JSON", "Markdown", "XML", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 772, 0, 0, 21, 43, 836
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\admin\DashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\auth\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 435, 0, 0, 8, 26, 469
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\auth\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 219, 0, 0, 13, 24, 256
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\auth\ResetPasswordPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 130, 0, 0, 3, 13, 146
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\auth\UnauthorizedPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\bookings\BookingsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\events\CreateEventPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\events\EventDetailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 964, 0, 0, 29, 66, 1059
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\events\EventsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 1314, 0, 0, 50, 69, 1433
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\organizer\AnalyticsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\organizer\AttendeesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\organizer\CreateEventPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 371, 0, 0, 30, 37, 438
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\organizer\DashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 189, 0, 0, 6, 14, 209
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\organizer\EditEventPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 668, 0, 0, 27, 54, 749
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\organizer\EventDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 1002, 0, 0, 16, 36, 1054
